authority_key,authority,citation_type,mention_count,judgment_count,real_mentions,real_judgment_count,synthetic_mentions,synthetic_judgment_count,retrieved_and_cited_mentions,corpus_not_retrieved_mentions,not_found_in_registry_mentions,source_id_mismatch_mentions,citation_conflict_mentions,invalid_source_id_mentions,statuses_observed,citation_variants,matched_retrieved_cases,matched_corpus_cases,invalid_source_ids,review_priority,manual_review_needed,case_exists_external,citation_correct_external,authoritative_source_url,review_notes
case:chapman v mid and south sussex nhs foundation trust,Chapman v. Mid and South Sussex NHS Foundation Trust [2023] EWHC 1290 (KB),case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Chapman v. Mid and South Sussex NHS Foundation Trust [2023] EWHC 1290 (KB),,,,medium,yes,,,,
case:hedley byrne and co ltd v heller and partners ltd,Hedley Byrne & Co Ltd v Heller & Partners Ltd [1964],case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Hedley Byrne & Co Ltd v Heller & Partners Ltd [1964],,,,medium,yes,,,,
case:henderson v merrett syndicates ltd,Henderson v Merrett Syndicates Ltd [1995],case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Henderson v Merrett Syndicates Ltd [1995],,,,medium,yes,,,,
case:igen ltd v wong,Igen Ltd v Wong,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Igen Ltd v Wong,,,,medium,yes,,,,
case:james v greenwich bc,James v Greenwich BC [2008] IRLR 302,case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,James v Greenwich BC [2008] IRLR 302,,,,medium,yes,,,,
case:mamidoil v okta,Mamidoil v Okta [2001] 2 Lloyd's Rep 76,case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Mamidoil v Okta [2001] 2 Lloyd's Rep 76,,,,medium,yes,,,,
case:moore stephens a firm v stone rolls ltd,Moore Stephens (a firm) v Stone Rolls Ltd [2009] UKHL 39,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Moore Stephens (a firm) v Stone Rolls Ltd [2009] UKHL 39,,,,medium,yes,,,,
case:neilson v poole,Neilson v. Poole [1969] 20 P&CR 909,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Neilson v. Poole [1969] 20 P&CR 909,,,,medium,yes,,,,
case:r johnson v sshd,R (Johnson) v SSHD,case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,R (Johnson) v SSHD,,,,medium,yes,,,,
case:r worcestershire acute hospitals nhs trust v malvern hills district council,R (Worcestershire Acute Hospitals NHS Trust) v Malvern Hills District Council [2023] EWHC 1995 (Admin),case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,R (Worcestershire Acute Hospitals NHS Trust) v Malvern Hills District Council [2023] EWHC 1995 (Admin),,,,medium,yes,,,,
case:shamoon v chief constable of the royal ulster constabulary,Shamoon v Chief Constable of the Royal Ulster Constabulary,case_law,1,1,0,0,1,1,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Shamoon v Chief Constable of the Royal Ulster Constabulary,,,,medium,yes,,,,
case:st helen s school northwood v rcc,St Helen’s School Northwood v RCC,case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,St Helen’s School Northwood v RCC,,,,medium,yes,,,,
case:uber bv v aslam,Uber BV v Aslam [2021] ICR 657,case_law,1,1,1,1,0,0,0,0,1,0,0,0,not_found_in_corpus_registry: 1,Uber BV v Aslam [2021] ICR 657,,,,medium,yes,,,,
legislation_or_rule:senior courts act 1981 s 35a,"Senior Courts Act 1981, s.35A",legislation_or_rule,4,4,2,2,2,2,0,0,0,0,0,0,not_applicable_non_case_reference: 4,"Senior Courts Act 1981, s.35A",,,,low,no,,,,
case:benkharbouche v embassy of the republic of sudan,Benkharbouche v Embassy of the Republic of Sudan [2017] ICR 1327,case_law,1,1,1,1,0,0,1,0,0,0,0,0,retrieved_and_cited: 1,Benkharbouche v Embassy of the Republic of Sudan [2017] ICR 1327,Benkharbouche & Anor v Embassy of the Republic of Sudan,Benkharbouche & Anor v Embassy of the Republic of Sudan,,low,no,,,,
case:chartbrook ltd v persimmon homes ltd,Chartbrook Ltd v Persimmon Homes Ltd [2009] UKHL 38,case_law,1,1,1,1,0,0,1,0,0,0,0,0,retrieved_and_cited: 1,Chartbrook Ltd v Persimmon Homes Ltd [2009] UKHL 38,Chartbrook Ltd v Persimmon Homes Ltd & Ors [2009] UKHL 38,Chartbrook Ltd v Persimmon Homes Ltd & Ors [2009] UKHL 38,,low,no,,,,
case:chesterton global ltd v nurmohamed,Chesterton Global Ltd v Nurmohamed (2017) EWCA Civ 1050,case_law,1,1,0,0,1,1,1,0,0,0,0,0,retrieved_and_cited: 1,Chesterton Global Ltd v Nurmohamed (2017) EWCA Civ 1050,Chesterton Global Ltd & Anor v Nurmohamed & Anor,Chesterton Global Ltd & Anor v Nurmohamed & Anor,,low,no,,,,
legislation_or_rule:cpr practice direction 52d,CPR Practice Direction 52D,legislation_or_rule,1,1,0,0,1,1,0,0,0,0,0,0,not_applicable_non_case_reference: 1,CPR Practice Direction 52D,,,,low,no,,,,
case:regina v london borough of hammersmith and fulham burkett,Regina v. London Borough of Hammersmith and Fulham (Burkett) [2002] UKHL 23,case_law,1,1,1,1,0,0,1,0,0,0,0,0,retrieved_and_cited: 1,Regina v. London Borough of Hammersmith and Fulham (Burkett) [2002] UKHL 23,Regina v. London Borough of Hammersmith and Fulham (Burkett) [2002] UKHL 23,Regina v. London Borough of Hammersmith and Fulham (Burkett) [2002] UKHL 23,,low,no,,,,
case:yetkin v london borough of newham,Yetkin v London Borough of Newham,case_law,1,1,1,1,0,0,1,0,0,0,0,0,retrieved_and_cited: 1,Yetkin v London Borough of Newham,Yetkin v London Borough of Newham ([2010] EWCA Civ 776),Yetkin v London Borough of Newham ([2010] EWCA Civ 776),,low,no,,,,
